	Gene	Chr	Gene Start	Gene End	nSNPs	TopSNP	TopSNP Pos	TopSNP P-Value
32	ABCA3	chr16	2373339	2379725	30	rs150554007	2375232.0	0.08436
33	ABCA4	chr1	94525024	94526995	48	rs581244	94533990.0	0.00688
34	ABCA5	chr17	67313040	67323252	74	rs71378946	67330753.0	0.04667
35	ABCA6	chr17	67131370	67138029	59	rs117753190	67136325.0	0.0009854
36	ABCA7	chr19	1064657	1065327	101	rs3859567	1063008.0	0.02114
37	ABCA8	chr17	66933211	66941015	92	rs4147958	66938232.0	0.02472
38	ABCA9	chr17	67045458	67057090	74	rs113408695	67060872.0	0.009277
39	ABCA10	chr17	67218818	67224841	74	chr17_67227974_D	67227974.0	0.004591
40	ABCA12	chr2	215940214	216003127	243	rs115931602	215972693.0	0.003682
41	ABCA13	chr7	48547467	48559741	158	rs79070221	48555141.0	0.01813
42	ABCB1	chr7	87175264	87179474	80	rs12154941	87170017.0	1.314e-05
43	ABCB4	chr7	87092176	87109751	126	rs45519131	87091361.0	0.00291
44	ABCB5	chr7	20762716	20816658	230	rs138890280	20754916.0	0.002251
45	ABCB6	chr2	220079750	220082912	38	rs4674367	220072852.0	0.01096
46	ABCB7	chrX	74288890	74291416	39	rs5937938	74293618.0	0.009397
47	ABCB8	chr7	150734774	150742649	74	rs9278	150750980.0	0.008805
48	ABCB9	chr12	123444585	123459229	31	rs883562	123460719.0	5.637e-11
49	ABCB10	chr1	229661808	229667649	57	rs115488729	229654053.0	0.09505
50	ABCB11	chr2	169826032	169827101	107	rs17267730	169818623.0	0.01786
51	ABCC1	chr16	16200382	16215960	130	rs3784867	16203345.0	0.007665
52	ABCC2	chr10	101552045	101554380	60	rs2273697	101563815.0	0.03659
53	ABCC3	chr17	48764773	48765836	32	rs2240802	48755002.0	0.005164
54	ABCC4	chr13	95726469	95728273	103	rs1751051	95731768.0	0.05857
55	ABCC5	chr3	183718450	183735727	105	rs74494968	183720335.0	0.02173
56	ABCC6	chr16	16315043	16317324	4	rs76860806	16323968.0	0.02422
57	ABCC8	chr11	17452368	17464980	106	rs7932043	17468612.0	0.003791
58	ABCC9	chr12	22076397	22094167	81	rs61921520	22100832.0	0.02733
59	ABCC10	chr6	43415730	43418160	47	chr6_43421598_D	43421598.0	1.043e-06
60	ABCC11	chr16	48258258	48281479	177	rs60347205	48258723.0	0.009538
61	ABCC12	chr16	48175221	48189904	52	rs8050306	48197103.0	0.05627
62	ABCD1	chrX	153000797	153006058	65	rs146172377	153000555.0	0.00737
63	ABCD2	chr12	39943834	40013553	207	rs12824320	40006177.0	0.002388
64	ABCD3	chr1	94979029	94984052	29	rs144352491	94993221.0	0.01436
65	ABCD4	chr14	74766601	74769700	56	rs4148073	74769302.0	0.1325
66	ABCE1	chr4	146044020	146048795	29	rs11545157	146055117.0	0.05036
67	ABCF1	chr6	30557205	30558520	3	rs150213441	30566407.0	6.727e-18
68	ABCF2	chr7	150923558	150924044	76	chr7_150916118_D	150916118.0	0.009012
69	ABCF3	chr3	183910937	183911557	69	rs7614381	183908761.0	0.03435
70	ABCG1	chr21	43706043	43715462	152	rs189594070	43703874.0	0.008502
71	ABCG2	chr4	89052995	89079823	175	rs2231137	89061114.0	0.01363
72	ABCG4	chr11	119026339	119029205	48	rs71482170	119019877.0	0.03582
73	ABCG5	chr2	44039981	44066004	190	rs10177200	44067851.0	0.04097
74	ABCG8	chr2	44066102	44105605	414	rs189827061	44078095.0	0.01867
75	ABHD1	chr2	27352982	27353555	38	rs144828013	27355899.0	0.0007194
76	ABHD2	chr15	89728645	89736684	94	rs2238313	89733247.0	3.476e-05
77	ABHD3	chr18	19281236	19284741	40	rs117385602	19271514.0	0.07337
78	ABHD4	chr14	23080446	23081264	72	rs78146195	23077108.0	0.02564
79	ABHD5	chr3	43759159	43775863	96	rs17075930	43766872.0	0.0001109
80	ABHD6	chr3	58280089	58281420	113	rs190798175	58276085.0	0.009223
81	ABHD8	chr19	17412097	17414234	82	rs111340732	17409977.0	0.01159
82	ABHD10	chr3	111697899	111710387	169	rs76279680	111702068.0	0.02753
83	ABHD11	chr7	73152043	73153161	55	rs11769503	73143086.0	0.01764
84	ABHD12	chr20	25300834	25371389	226	rs56059261	25377341.0	0.002899
85	ABHD12B	chr14	51360457	51370859	110	rs12889552	51368402.0	0.03267
86	ABHD13	chr13	108870726	108886603	103	rs112285363	108867741.0	0.01533
87	ABHD14A	chr3	52009118	52015211	24	rs74497331	52011029.0	0.0928
88	ABHD14B	chr3	52005352	52008095	16	rs74497331	52011029.0	0.0928
89	ABHD15	chr17	27887564	27894155	46	rs117632649	27886122.0	0.0158
90	ABHD16A	chr6	31660670	31670761	82	rs140272475	31671557.0	4.468e-19
91	ABHD16B	chr20	62492565	62494341	59	rs187625897	62484684.0	0.00741
92	ABHD17A	chr19	1877202	1880016	52	rs72975653	1869152.0	0.003555
93	ABHD17B	chr9	74480067	74525658	65	rs148037657	74527143.0	0.06277
94	ABHD17C	chr15	80996924	81046538	275	rs7171423	81029628.0	0.0001702
95	ABHD18	chr4	128886628	128930112	97	rs111642611	128924477.0	0.08783
96	ABI1	chr10	27065554	27112219	175	rs10829076	27110648.0	0.001985
97	ABI2	chr2	204267428	204301606	111	rs2247197	204306433.0	0.002272
98	ABI3	chr17	47297219	47300369	73	rs148017504	47298811.0	0.006639
99	ABI3BP	chr3	100617680	100649838	164	rs183700047	100648389.0	0.006755
100	ABL1	chr9	133710452	133763062	216	rs35222907	133750550.0	0.01744
101	ABL2	chr1	179100346	179112209	87	rs2816185	179117740.0	0.01295
102	ABLIM1	chr10	116354760	116370476	106	rs147519889	116359273.0	0.006494
103	ABLIM2	chr4	8021939	8043163	204	rs16841570	8016164.0	0.009948
104	ABLIM3	chr5	148617010	148620180	79	rs137855745	148628626.0	0.01857
105	ABO	chr9	136131052	136150605	365	rs78590974	136156230.0	0.03505
106	ABR	chr17	1131437	1132315	145	rs113911174	1122942.0	0.07338
107	ABRA	chr8	107771710	107782473	95	rs79513298	107788599.0	0.009319
108	ABRACL	chr6	139349978	139355713	100	rs78883203	139341149.0	0.0007635
109	ABRAXAS1	chr4	84399962	84406218	62	chr4_84415216_D	84415216.0	0.00424
110	ABRAXAS2	chr10	126490353	126525239	115	rs118120120	126530038.0	0.003457
111	ABT1	chr6	26597179	26600278	81	rs45527431	26599509.0	6.044e-25
112	ABTB1	chr3	127396019	127398906	49	rs41266485	127390525.0	0.03681
113	ABTB2	chr11	34194720	34264092	356	rs77155043	34207386.0	0.001937
114	ACAA1	chr3	38175886	38178572	35	rs2128111	38166325.0	0.02315
115	ACAA2	chr18	47322180	47340323	107	rs73436325	47326445.0	0.008273
116	ACACB	chr12	109700826	109704746	43	rs56321639	109707617.0	0.0684
117	ACAD8	chr11	134132078	134133955	63	rs112509884	134125949.0	0.005624
118	ACAD9	chr3	128623218	128631943	125	rs193206694	128641026.0	0.01986
119	ACAD10	chr12	112190533	112194903	26	rs7294578	112197837.0	0.005476
120	ACAD11	chr3	132349288	132378906	78	rs35885835	132388894.0	0.0007695
121	ACADL	chr2	211082788	211089573	20	rs3764913	211074909.0	0.06874
122	ACADM	chr1	76216135	76229176	136	rs72686182	76208166.0	0.006562
123	ACADS	chr12	121163663	121177397	158	rs2239758	121162637.0	0.0004341
124	ACADSB	chr10	124812276	124813394	72	rs78429218	124819435.0	0.05427
125	ACADVL	chr17	7127951	7128585	28	rs2074222	7129974.0	6.565e-05
126	ACAN	chr15	89416943	89418072	55	rs7182726	89421405.0	0.0008785
127	ACAP1	chr17	7254183	7254795	50	rs6503016	7259073.0	0.06485
128	ACAP2	chr3	195162521	195163773	70	rs187878677	195157169.0	0.006815
129	ACAP3	chr1	1238589	1243198	60	rs75731392	1251232.0	0.01222
130	ACAT1	chr11	108016847	108018315	47	rs35422249	108010159.0	0.04328
131	ACAT2	chr6	160196317	160200078	93	rs2273828	160207049.0	0.002875
132	ACBD3	chr1	226342342	226349333	78	rs190504345	226337937.0	0.01649
133	ACBD4	chr17	43213567	43215911	52	rs60289499	43218677.0	0.000137
134	ACBD5	chr10	27506911	27531019	313	rs10764690	27508758.0	3.718e-05
135	ACBD6	chr1	180241736	180245359	90	rs6704010	180246451.0	0.01572
136	ACBD7	chr10	15120485	15130480	173	rs148805969	15127419.0	0.02361
137	ACCS	chr11	44102567	44105443	80	rs10769015	44114236.0	0.005722
138	ACCSL	chr11	44069564	44081500	121	rs73533657	44081555.0	0.04268
139	ACD	chr16	67693549	67694174	22	rs7187476	67699948.0	0.001266
140	ACE	chr17	61573500	61574346	62	rs4337	61565133.0	0.005574
141	ACE2	chrX	15613009	15620271	71	rs4646124	15616796.0	0.007115
142	ACER1	chr19	6306152	6333640	281	rs188737817	6323417.0	0.00745
143	ACER2	chr9	19409056	19452018	202	rs149895446	19434792.0	0.0171
144	ACER3	chr11	76730580	76731644	51	rs12224200	76735048.0	0.05033
145	ACHE	chr7	100493844	100494594	70	rs2720392	100486035.0	0.0005322
146	ACIN1	chr14	23547005	23548802	41	rs55833875	23541441.0	0.02414
147	ACKR1	chr1	159175200	159176288	78	rs862994	159165336.0	0.009761
148	ACKR2	chr3	42897528	42906693	74	rs114984432	42912480.0	0.04591
149	ACKR3	chr2	237478283	237491001	84	rs2060831	237493971.0	0.03188
150	ACKR4	chr3	132320231	132337811	73	rs62291498	132332329.0	0.06146
151	ACLY	chr17	40066491	40086795	87	rs143984260	40088790.0	0.04718
152	ACMSD	chr2	135601992	135617264	92	chr2_135597763_D	135597763.0	0.0006124
153	ACO1	chr9	32384617	32450834	258	rs117856719	32439127.0	0.00192
154	ACO2	chr22	41911769	41917594	49	rs1799932	41911525.0	0.01789
155	ACOD1	chr13	77526611	77532120	78	rs77261295	77541759.0	0.009607
156	ACOT1	chr14	74004097	74010414	79	rs35067250	73994735.0	0.0006216
157	ACOT2	chr14	74041007	74041905	122	rs71429008	74037730.0	0.004531
158	ACOT4	chr14	74058409	74063200	126	chr14_74070430_D	74070430.0	0.005644
159	ACOT6	chr14	74083547	74086592	97	rs55951657	74074732.0	0.1153
160	ACOT7	chr1	6366174	6420766	302	rs61633933	6360809.0	0.002031
161	ACOT8	chr20	44482060	44485948	86	rs75498225	44485670.0	0.01502
162	ACOT9	chrX	23725947	23761367	219	rs6526329	23715975.0	0.003058
163	ACOT11	chr1	55062936	55065331	92	rs148238018	55064970.0	0.03753
164	ACOT12	chr5	80655670	80689998	222	rs182752912	80699773.0	0.02954
165	ACOT13	chr6	24687629	24701942	135	rs145783691	24699725.0	6.659e-05
166	ACOX1	chr17	73974547	73975126	96	rs7220130	73965431.0	0.01254
167	ACOX2	chr3	58520303	58522874	70	rs9844590	58516464.0	0.02003
168	ACOX3	chr4	8412008	8430188	135	rs112790710	8430233.0	0.02814
169	ACOXL	chr2	111753533	111775650	173	rs116596490	111744738.0	0.002942
170	ACP1	chr2	274572	277506	48	rs6855	277995.0	0.04105
171	ACP2	chr11	47268943	47270365	63	rs35677603	47268310.0	0.0001386
172	ACP4	chr19	51293671	51298481	133	rs7258535	51307981.0	0.05607
173	ACP5	chr19	11688115	11689769	90	rs147041228	11683530.0	0.008895
174	ACP6	chr1	147131075	147142574	113	rs182527583	147140589.0	0.04254
175	ACP7	chr19	39589702	39600812	138	rs62120485	39600126.0	0.0193
176	ACPP	chr3	132071645	132077564	159	rs35093038	132081828.0	0.02039
177	ACR	chr22	51182571	51183338	52	rs3865764	51185848.0	0.0005063
178	ACRBP	chr12	6755744	6756594	48	rs146754766	6761146.0	0.0816
179	ACRV1	chr11	125542387	125550769	78	chr11_125543103_D	125543103.0	0.0003317
180	ACSBG1	chr15	78475083	78505841	171	rs71407265	78515779.0	0.02007
181	ACSBG2	chr19	6187341	6193102	160	chr19_6181823_D	6181823.0	0.005955
182	ACSF2	chr17	48551185	48552135	55	rs2898945	48553916.0	0.06097
183	ACSF3	chr16	89217007	89217630	124	rs1054747	89220846.0	0.0001661
184	ACSL1	chr4	185689481	185695027	83	rs141446403	185703639.0	0.005723
185	ACSL3	chr2	223797735	223806542	92	rs10804312	223804751.0	0.03396
186	ACSL4	chrX	108938879	108976504	81	rs150390856	108937999.0	0.004284
187	ACSL5	chr10	114181738	114186366	39	rs2255740	114181683.0	0.009547
188	ACSL6	chr5	131325118	131330394	55	chr5_131320957_D	131320957.0	0.0351
189	ACSM1	chr16	20634807	20709066	275	rs163235	20651378.0	0.0104
190	ACSM2A	chr16	20493591	20498203	64	rs143224304	20492996.0	0.02068
191	ACSM2B	chr16	20585630	20587662	42	rs146980165	20576746.0	0.01628
192	ACSM3	chr16	20807559	20808475	38	chr16_20799807_I	20799807.0	0.008925
193	ACSM4	chr12	7463268	7471113	56	rs80154275	7461604.0	0.02383
194	ACSM5	chr16	20432595	20442365	217	rs12927779	20440655.0	0.006686
195	ACSM6	chr10	96954233	96985092	182	rs139599232	96944709.0	0.04219
196	ACSS1	chr20	24988143	25013339	137	rs13039383	25015042.0	0.0292
197	ACSS2	chr20	33510644	33515008	38	rs2236270	33523155.0	0.002504
198	ACSS3	chr12	81568610	81613810	207	rs73154952	81562149.0	0.04882
199	ACTA1	chr1	229566995	229569845	67	rs148826887	229561037.0	0.05138
200	ACTA2	chr10	90707998	90712530	58	rs2902336	90718677.0	0.1297
201	ACTB	chr7	5568912	5602421	240	rs852426	5566353.0	0.000297
202	ACTBL2	chr5	56775845	56778636	71	rs35128457	56780616.0	0.05929
203	ACTC1	chr15	35083901	35084723	95	rs7166484	35086366.0	0.004174
204	ACTG1	chr17	79478544	79479825	130	rs9912403	79478870.0	0.001004
205	ACTG2	chr2	74120134	74128932	114	rs59098607	74120961.0	0.000277
206	ACTL6A	chr3	179304275	179306029	49	rs34630517	179294509.0	0.0306
207	ACTL6B	chr7	100247685	100254056	40	rs3757859	100241163.0	1.208e-05
208	ACTL7A	chr9	111624602	111626035	116	rs34482489	111632019.0	0.001841
209	ACTL7B	chr9	111616870	111619239	131	rs10816750	111628719.0	0.02825
210	ACTL8	chr1	18081807	18153558	278	rs16830724	18091302.0	0.05657
211	ACTL9	chr19	8807750	8809172	75	rs8104436	8809715.0	0.0002433
212	ACTL10	chr20	32254303	32256331	32	rs3213177	32264533.0	0.005898
213	ACTN1	chr14	69440497	69445748	84	rs113533377	69442497.0	0.04756
214	ACTN2	chr1	236917198	236925866	109	rs7534128	236922254.0	0.07371
215	ACTN3	chr11	66314385	66322032	67	rs678397	66324583.0	0.0001152
216	ACTN4	chr19	39218784	39220061	79	rs79947842	39219274.0	0.02836
217	ACTR1A	chr10	104243830	104247990	93	rs3740409	104236645.0	3.351e-06
218	ACTR1B	chr2	98275276	98276354	34	rs11692435	98275354.0	0.0002925
219	ACTR2	chr2	65454970	65497280	202	rs142177991	65488009.0	0.01185
220	ACTR3	chr2	114708400	114716166	90	chr2_114711879_D	114711879.0	6.209e-05
221	ACTR3B	chr7	152507826	152552456	181	rs112703426	152555177.0	0.02241
222	ACTR3C	chr7	149990400	150020252	127	rs2261646	149992184.0	0.07319
223	ACTR5	chr20	37377084	37400834	236	rs6027726	37375444.0	2.232e-09
224	ACTR6	chr12	100594628	100618135	124	rs17030054	100607615.0	0.005776
225	ACTR8	chr3	53911285	53915884	84	chr3_53917336_D	53917336.0	0.004386
226	ACTR10	chr14	58690355	58701508	69	rs35849362	58685803.0	0.002561
227	ACTRT1	chrX	127184942	127186382	56	rs144939232	127178623.0	0.03412
228	ACTRT2	chr1	2938045	2939465	74	rs12033336	2943908.0	0.003519
229	ACTRT3	chr3	169484708	169487683	66	chr3_169495947_D	169495947.0	0.002213
230	ACVR1	chr2	158636917	158694839	122	rs17798043	158663277.0	0.0009264
231	ACVR1B	chr12	52377818	52385776	62	chr12_52385208_D	52385208.0	0.03568
232	ACVR1C	chr2	158390253	158454072	110	rs116099983	158430816.0	0.006344
233	ACVR2A	chr2	148683255	148685073	27	rs17743157	148675728.0	0.008204
234	ACVR2B	chr3	38514936	38524865	67	rs13079145	38517992.0	0.0001402
235	ACVRL1	chr12	52315435	52317145	93	chr12_52313145_I	52313145.0	0.02834
236	ACY1	chr3	52022317	52022996	25	rs149812186	52029945.0	0.0007585
237	ACY3	chr11	67410171	67415054	85	rs7108759	67414645.0	0.007429
238	ACYP1	chr14	75529725	75530723	30	rs76623500	75535146.0	0.0471
239	ACYP2	chr2	54342539	54370451	172	rs7565453	54340468.0	1.241e-05
240	ADA	chr20	43264711	43280874	98	rs3787360	43266919.0	0.01157
241	ADA2	chr22	17670673	17679681	161	rs35221892	17673438.0	0.0007301
242	ADAD1	chr4	123301473	123329104	95	rs77466970	123328335.0	0.001753
243	ADAD2	chr16	84230139	84230774	173	rs8045919	84234146.0	0.01761
244	ADAL	chr15	43638104	43645507	73	rs6493086	43655394.0	0.0001648
245	ADAM2	chr8	39675420	39695728	97	rs61445709	39673002.0	0.2266
246	ADAM7	chr8	24298596	24367061	293	rs7816716	24293843.0	0.001462
247	ADAM8	chr10	135086808	135090372	92	chr10_135080481_D	135080481.0	0.1056
248	ADAM9	chr8	38947303	38961148	89	rs77199584	38946936.0	0.007571
249	ADAM10	chr15	59040678	59041918	35	rs653765	59042012.0	9.752e-06
250	ADAM11	chr17	42852925	42855170	54	rs55882072	42847438.0	0.0006965
251	ADAM12	chr10	127823936	127843874	272	rs61863387	127821721.0	0.005476
252	ADAM15	chr1	155034636	155035251	36	rs6427128	155026942.0	3.906e-05
253	ADAM17	chr2	9667629	9695903	127	rs111947306	9686089.0	0.003761
254	ADAM18	chr8	39542692	39581477	135	rs75710252	39534437.0	0.001562
255	ADAM19	chr5	156997453	157002765	116	rs112307138	156992630.0	0.04102
256	ADAM20	chr14	70989074	71001732	111	rs79148320	70997185.0	0.1055
257	ADAM21	chr14	70924216	70926622	103	rs61979126	70924558.0	0.212
258	ADAM22	chr7	87811319	87815737	44	rs113154145	87819118.0	0.02122
259	ADAM23	chr2	207459558	207482579	97	rs77026520	207473753.0	0.01359
260	ADAM28	chr8	24204460	24209021	132	rs7012863	24218225.0	0.02409
261	ADAM29	chr4	175839556	175896553	311	rs62332289	175870744.0	0.008812
262	ADAM30	chr1	120436155	120439118	47	rs12075536	120435771.0	0.1433
263	ADAM32	chr8	39128394	39133816	56	rs6984223	39134199.0	0.005859
264	ADAM33	chr20	3648620	3662750	166	rs630712	3650066.0	0.008033
265	ADAMDEC1	chr8	24262804	24263525	28	rs3765124	24261526.0	0.004756
266	ADAMTS1	chr21	28214287	28216096	87	chr21_28208109_D	28208109.0	0.02728
267	ADAMTS2	chr5	178548211	178549768	74	rs4700782	178551155.0	0.0001341
268	ADAMTS3	chr4	73163941	73177972	41	rs72653989	73168943.0	0.01599
269	ADAMTS4	chr1	161165768	161168843	48	rs11585858	161156033.0	0.01739
270	ADAMTS5	chr21	28290230	28338832	258	rs76631864	28329747.0	0.001638
271	ADAMTS6	chr5	64552216	64558764	84	rs11743960	64568555.0	0.009526
272	ADAMTS7	chr15	79063136	79103574	246	rs11853054	79054919.0	5.543e-05
273	ADAMTS8	chr11	130274819	130282008	88	rs2291348	130289117.0	0.1387
274	ADAMTS9	chr3	64640065	64641720	73	rs143317399	64644777.0	0.009599
275	ADAMTS10	chr19	8669820	8675620	57	chr19_8680416_I	8680416.0	0.04347
276	ADAMTS12	chr5	33880968	33891713	76	rs35737202	33873271.0	0.008977
277	ADAMTS13	chr9	136320769	136324508	78	rs3094374	136323248.0	0.000139
278	ADAMTS14	chr10	72432558	72522197	603	rs59099175	72477987.0	0.004132
279	ADAMTS15	chr11	130318868	130346532	172	rs184533645	130340064.0	0.01552
280	ADAMTS16	chr5	5235149	5239300	137	rs34749956	5238126.0	0.0112
281	ADAMTS17	chr15	100871218	100881387	163	rs188157848	100889930.0	0.007554
282	ADAMTS18	chr16	77333935	77355033	287	rs113600553	77360678.0	0.006073
283	ADAMTS19	chr5	129023792	129070741	178	rs6868793	129057802.0	0.002431
284	ADAMTS20	chr12	43816621	43833515	129	chr12_43839743_I	43839743.0	0.05373
285	ADAMTSL1	chr9	18905488	18910945	142	rs1359842	18897005.0	0.03199
286	ADAMTSL2	chr9	136399974	136440640	135	rs34444208	136401164.0	0.005792
287	ADAMTSL3	chr15	84614507	84651057	100	rs881983	84647308.0	9.677e-07
288	ADAMTSL4	chr1	150530729	150533413	56	rs72700829	150540181.0	2.598e-08
289	ADAMTSL5	chr19	1510148	1513556	81	rs12973372	1516291.0	0.1053
290	ADAP1	chr7	959604	966691	124	chr7_951931_I	951931.0	0.009442
291	ADAP2	chr17	29281271	29285159	52	rs6505220	29271319.0	0.00126
292	ADAR	chr1	154574674	154581288	68	rs17655362	154565914.0	0.01355
293	ADARB1	chr21	46596324	46597462	54	rs141948449	46602384.0	0.006845
294	ADARB2	chr10	1261615	1282593	162	rs4880794	1264921.0	0.01489
295	ADAT1	chr16	75654666	75657157	91	rs963820	75659849.0	0.01006
296	ADAT2	chr6	143765693	143771810	61	rs139607825	143768447.0	0.1273
297	ADAT3	chr19	1908017	1912254	86	rs147137528	1906637.0	0.003238
298	ADCK1	chr14	78389574	78401355	138	rs61990752	78380437.0	0.01464
299	ADCK2	chr7	140378954	140394881	64	rs269267	140372299.0	0.004068
300	ADCK5	chr8	145597764	145616255	62	rs11992877	145601750.0	0.004452
301	ADCY1	chr7	45723983	45725639	82	rs139591869	45730046.0	0.001499
302	ADCY2	chr5	7793731	7827645	183	rs326185	7834527.0	0.001804
303	ADCY3	chr2	25141520	25142381	78	rs187666486	25134450.0	0.03538
304	ADCY4	chr14	24802007	24804277	105	rs12895908	24813821.0	0.0488
305	ADCY5	chr3	123019097	123036999	70	rs73186452	123009859.0	0.04044
306	ADCY6	chr12	49171454	49172207	38	rs12814893	49181479.0	0.0006372
307	ADCY7	chr16	50347014	50349649	59	rs111271647	50341300.0	0.09332
308	ADCY8	chr8	131916017	132003111	384	rs4736462	131961460.0	0.03377
309	ADCY9	chr16	4031773	4034151	119	rs2238441	4035407.0	0.05233
310	ADCY10	chr1	167873847	167883327	70	rs75776318	167883666.0	0.002259
311	ADCYAP1	chr18	908032	911026	72	rs141886384	914760.0	0.01313
312	ADCYAP1R1	chr7	31126584	31144513	105	rs58500006	31148033.0	0.02095
313	ADD1	chr4	2930329	2931789	54	rs114142703	2921651.0	0.009871
314	ADD2	chr2	70940201	70995357	314	chr2_71002182_I	71002182.0	0.005868
315	ADD3	chr10	111885659	111892485	34	rs7477704	111881011.0	0.1784
316	ADGB	chr6	147122994	147128974	128	rs9390426	147137739.0	0.02795
317	ADGRA1	chr10	134915749	134944932	280	rs112268920	134952938.0	0.001057
318	ADGRA2	chr8	37654773	37701494	142	chr8_37661615_I	37661615.0	0.001152
319	ADGRA3	chr4	22474642	22517319	314	rs10009861	22496971.0	0.02319
320	ADGRB1	chr8	143624861	143626045	61	rs61549099	143626820.0	0.003344
321	ADGRB2	chr1	32222817	32226627	24	rs144126076	32230700.0	0.01183
322	ADGRB3	chr6	70041759	70099109	180	rs60470320	70033013.0	0.001724
323	ADGRD1	chr12	131606498	131624034	195	rs112547346	131617075.0	0.06721
324	ADGRD2	chr9	127213422	127239379	122	rs11998752	127215145.0	0.03919
325	ADGRE1	chr19	6896416	6913746	209	rs192102695	6922962.0	0.000761
326	ADGRE2	chr19	14882691	14887638	164	rs2079604	14893852.0	0.01245
327	ADGRE3	chr19	14779431	14785810	92	rs8105388	14787134.0	0.08546
328	ADGRE5	chr19	14515181	14516417	49	rs146163766	14516039.0	0.1065
329	ADGRF1	chr6	46988515	47010020	113	rs80056499	46998077.0	0.01368
330	ADGRF2	chr6	47641106	47665529	208	rs75912906	47635309.0	0.08519
331	ADGRF3	chr2	26563232	26568682	68	rs140425937	26561305.0	0.001744
332	ADGRF4	chr6	47666288	47689757	170	chr6_47667660_D	47667660.0	0.1656
333	ADGRF5	chr6	46854335	46856153	61	rs41273668	46846043.0	0.02608
334	ADGRG1	chr16	57687142	57694767	126	rs935746	57681854.0	0.01719
335	ADGRG2	chrX	19037685	19054506	41	rs5909102	19040960.0	0.0494
336	ADGRG3	chr16	57713709	57722828	131	rs66853547	57710539.0	0.02013
337	ADGRG4	chrX	135388179	135498843	196	rs186380014	135454095.0	0.01745
338	ADGRG5	chr16	57608727	57625593	159	rs58837924	57631681.0	0.0581
339	ADGRG6	chr6	142759180	142764867	47	rs6901807	142772228.0	0.01303
340	ADGRG7	chr3	100354383	100356419	47	rs73145111	100354091.0	0.3782
341	ADGRL1	chr19	14273759	14281546	39	rs76576638	14268685.0	0.07614
342	ADGRL2	chr1	82454075	82456393	72	chr1_82458756_D	82458756.0	0.006952
343	ADGRL3	chr4	62799560	62812795	38	rs74737896	62803354.0	0.07081
344	ADGRL4	chr1	79355448	79383570	209	rs2200810	79378422.0	0.00705
345	ADGRV1	chr5	90149876	90159674	62	rs2247419	90155414.0	4.305e-07
346	ADH1A	chr4	100207821	100212140	64	rs142725701	100203084.0	0.03649
347	ADH1B	chr4	100238821	100242542	79	rs1229864	100251460.0	0.006241
348	ADH1C	chr4	100266044	100273901	222	rs36052336	100273594.0	0.005449
349	ADH4	chr4	100062789	100078949	191	chr4_100071194_I	100071194.0	0.1304
350	ADH5	chr4	99997947	100001174	124	rs17216887	100010273.0	0.02127
